epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.1684,3.56057,3.83317,1.87215,0.00139,0.00463,0.0007,7e-05,2.51309,3.62103,1.4211,4e-05,4e-05,4e-05
2,118.744,3.0524,3.59607,1.48883,0.00931,0.03241,0.00482,0.00164,1.94703,3.59821,1.2201,9.901e-05,9.901e-05,9.901e-05
3,214.904,2.20941,3.01628,1.11604,0.10331,0.46296,0.10211,0.03469,1.61246,3.51154,1.08026,0.000156832,0.000156832,0.000156832
4,310.132,1.70095,2.25952,1.03193,0.16937,0.96759,0.35879,0.14354,1.36312,3.37032,0.99905,0.000213466,0.000213466,0.000213466
5,388.811,1.51702,1.38296,0.93574,0.14934,0.99074,0.71511,0.37862,1.24603,2.89241,0.98242,0.000268912,0.000268912,0.000268912
6,426.813,1.27455,1.07107,0.89938,0.13769,0.98611,0.84836,0.48577,1.26095,2.58482,0.98559,0.00032317,0.00032317,0.00032317
7,490.491,1.47574,1.04527,0.90463,0.11152,0.98611,0.85458,0.43089,1.43217,2.273,1.00835,0.00037624,0.00037624,0.00037624
8,524.835,1.3073,1.00612,0.92727,0.16903,0.97685,0.8862,0.48947,1.3351,2.14473,0.99943,0.000428122,0.000428122,0.000428122
9,554.283,1.2266,0.89153,0.9052,0.70861,0.96296,0.91727,0.55509,1.28364,2.04114,1.01159,0.000478816,0.000478816,0.000478816
10,602.805,1.27432,0.9024,0.90731,0.85862,0.92781,0.9175,0.57083,1.18493,1.93018,0.9858,0.000528322,0.000528322,0.000528322
11,652.652,1.12445,0.86767,0.87267,0.93581,0.77778,0.92145,0.5966,1.25956,1.69079,0.99056,0.00057664,0.00057664,0.00057664
12,680.917,1.20828,0.86819,0.87544,0.9352,0.80184,0.93254,0.60081,1.28595,1.61187,0.99777,0.00062377,0.00062377,0.00062377
13,723.983,1.21352,0.90486,0.88416,0.93152,0.81019,0.91994,0.55686,1.23872,1.60693,0.98474,0.000669712,0.000669712,0.000669712
14,766.761,1.16838,0.87843,0.90036,0.94585,0.81019,0.93427,0.58276,1.31104,1.54206,1.00749,0.000714466,0.000714466,0.000714466
15,792.957,1.1237,0.82853,0.88023,0.94481,0.87178,0.95406,0.65639,1.14287,1.35164,0.98427,0.000758032,0.000758032,0.000758032
16,822.984,1.09348,0.80945,0.86837,0.90775,0.86552,0.94273,0.64215,1.19334,1.33164,0.98427,0.00080041,0.00080041,0.00080041
17,856.766,1.16872,0.84806,0.87933,0.93008,0.86574,0.92782,0.62898,1.14251,1.3692,0.98089,0.0008416,0.0008416,0.0008416
18,905.566,1.08191,0.79072,0.86931,0.92732,0.85648,0.91911,0.61991,1.10872,1.41519,0.97296,0.000881602,0.000881602,0.000881602
19,931.601,1.12405,0.80371,0.88234,0.93329,0.84204,0.93373,0.61862,1.10724,1.51427,0.96977,0.000920416,0.000920416,0.000920416
20,964.376,1.1001,0.78561,0.88336,0.94658,0.87963,0.94567,0.66395,1.05236,1.35853,0.96728,0.000958042,0.000958042,0.000958042
21,992.962,0.99228,0.72871,0.84347,0.93369,0.91265,0.92985,0.67674,1.05504,1.24132,0.96976,0.00099448,0.00099448,0.00099448
22,1057.05,1.06389,0.78367,0.83341,0.94884,0.94445,0.94567,0.68706,1.09063,1.21687,0.97215,0.00102973,0.00102973,0.00102973
23,1085.18,1.19596,0.81263,0.85252,0.93856,0.91936,0.94701,0.69121,1.1354,1.29355,0.97929,0.00106379,0.00106379,0.00106379
24,1114.94,1.05118,0.75138,0.84865,0.94855,0.93895,0.943,0.6667,1.1258,1.29062,0.97805,0.00109667,0.00109667,0.00109667
25,1146.67,1.07809,0.76178,0.88127,0.93381,0.91449,0.93218,0.63249,1.15598,1.15107,0.98329,0.00112835,0.00112835,0.00112835
26,1198.29,1.09694,0.77096,0.88403,0.92105,0.91818,0.92449,0.6206,1.10771,1.03623,0.99029,0.00115885,0.00115885,0.00115885
27,1232.39,0.98967,0.71593,0.86565,0.94047,0.95083,0.95316,0.58696,1.14348,0.96896,0.98243,0.00118816,0.00118816,0.00118816
28,1259.53,1.07274,0.77639,0.86723,0.94899,0.94743,0.94992,0.65151,1.07146,0.90443,0.96973,0.00121628,0.00121628,0.00121628
29,1285.17,1.07245,0.83164,0.85367,0.94899,0.94743,0.94992,0.65151,1.07146,0.90443,0.96973,0.00124322,0.00124322,0.00124322
30,1316.02,0.99875,0.7381,0.8656,0.9434,0.93981,0.95192,0.67722,1.00957,0.88253,0.96764,0.00126896,0.00126896,0.00126896
31,1352.29,0.97334,0.71486,0.86246,0.92819,0.92593,0.94271,0.69185,1.04336,0.91024,0.96741,0.00129352,0.00129352,0.00129352
32,1395.87,1.12477,0.92337,0.91555,0.91766,0.93056,0.94791,0.68214,1.04453,0.92435,0.97304,0.00131689,0.00131689,0.00131689
33,1437.39,1.14955,0.84076,0.89296,0.91766,0.93056,0.94791,0.68214,1.04453,0.92435,0.97304,0.00133907,0.00133907,0.00133907
34,1489.52,1.02552,0.76069,0.86785,0.91836,0.93519,0.95049,0.67506,1.0525,0.90248,0.96999,0.0013466,0.0013466,0.0013466
35,1542.66,0.90664,0.70505,0.83436,0.94818,0.93181,0.96404,0.61229,1.21899,0.8401,0.97869,0.0013268,0.0013268,0.0013268
36,1570.21,1.07983,0.78574,0.86266,0.94434,0.94259,0.95513,0.67793,1.08048,0.77605,0.96499,0.001307,0.001307,0.001307
37,1595.5,1.2047,0.85504,0.9009,0.94434,0.94259,0.95513,0.67793,1.08048,0.77605,0.96499,0.0012872,0.0012872,0.0012872
38,1624.46,0.94974,0.76987,0.85022,0.94327,0.94444,0.95598,0.71702,0.95524,0.72074,0.95305,0.0012674,0.0012674,0.0012674
39,1660.97,1.10897,0.71992,0.84574,0.93879,0.93981,0.95865,0.67233,1.05861,0.75639,0.96738,0.0012476,0.0012476,0.0012476
40,1711.74,1.06866,0.76853,0.84998,0.93507,0.93342,0.95413,0.69053,1.00924,0.76884,0.96595,0.0012278,0.0012278,0.0012278
